# wavelength_nm   slope_a   correlation_r
     44.1000  -3.33566012e-01  -2.04311984e-01
     45.1000  -3.33566288e-01  -2.04312274e-01
     46.0000  -3.33566948e-01  -2.04312967e-01
     47.0000  -3.33567642e-01  -2.04313695e-01
     48.0000  -3.33567799e-01  -2.04313859e-01
     49.0000  -3.33567644e-01  -2.04313697e-01
     50.0000  -3.33570016e-01  -2.04316185e-01
     50.6000  +1.18124639e+00  +8.06936311e-01
     51.2000  +1.92950020e-01  +1.36862249e-01
     52.0000  -3.33568021e-01  -2.04314092e-01
     53.0000  -3.33566558e-01  -2.04312558e-01
     54.0000  -3.33567873e-01  -2.04313937e-01
     55.0000  -3.33564367e-01  -2.04310259e-01
     56.0000  -3.33566722e-01  -2.04312730e-01
     57.0000  -3.33565618e-01  -2.04311571e-01
     58.0000  -2.65736139e-01  -1.67069011e-01
     59.0000  -3.33567812e-01  -2.04313873e-01
     60.0000  -3.33570896e-01  -2.04317109e-01
     61.0000  -3.33572649e-01  -2.04318948e-01
     62.0000  -2.65734606e-01  -1.67068247e-01
     63.0000  -2.65732075e-01  -1.67065607e-01
     64.0000  -2.65738176e-01  -1.67071007e-01
     65.0000  -2.65737956e-01  -1.67070740e-01
     65.8000  -2.65734111e-01  -1.67067471e-01
     66.5000  -2.65734631e-01  -1.67067978e-01
     67.5000  -2.65739383e-01  -1.67072468e-01
     68.5000  -2.65737635e-01  -1.67070823e-01
     69.5000  -2.65740903e-01  -1.67073837e-01
     70.5000  -1.80606894e-01  -1.17414883e-01
     71.6000  -1.80609722e-01  -1.17416857e-01
     72.6000  -1.80604857e-01  -1.17412875e-01
     73.5000  -1.80607182e-01  -1.17414462e-01
     74.5000  -1.80606895e-01  -1.17414883e-01
     75.5000  -1.80615975e-01  -1.17422277e-01
     76.5000  -1.80605492e-01  -1.17413557e-01
     77.5000  -1.80606970e-01  -1.17415710e-01
     78.5000  -1.80611979e-01  -1.17419313e-01
     79.5000  +6.45366435e-01  +4.59988713e-01
     80.5000  -7.84318778e-02  -5.27347134e-02
     81.5000  -7.84319292e-02  -5.27354738e-02
     82.5000  -7.84257224e-02  -5.27303900e-02
     83.5000  -7.84311105e-02  -5.27343229e-02
     84.5000  -7.84311825e-02  -5.27347144e-02
     85.5000  -7.84403600e-02  -5.27414057e-02
     86.5000  +4.39387618e-02  +3.04571285e-02
     87.5000  +4.39501158e-02  +3.04645322e-02
     88.5000  +4.39339305e-02  +3.04537544e-02
     89.5000  +4.39685963e-02  +3.04773178e-02
     90.5000  +4.39350225e-02  +3.04544355e-02
     91.5000  +1.18330968e+00  +8.08716650e-01
     92.5000  +1.18565412e+00  +8.10815368e-01
     93.5000  +1.18972357e+00  +8.14521461e-01
     94.5000  +1.18386403e+00  +8.09316961e-01
     95.5000  +1.70312578e+00  +9.91896417e-01
     96.5000  +1.70354926e+00  +9.91849088e-01
     97.5000  +1.18861930e+00  +8.13803354e-01
     98.5000  +1.65747090e+00  +9.94378517e-01
     99.5000  +1.65171570e+00  +9.94662495e-01
    100.5000  +1.64471116e+00  +9.94966233e-01
    101.5000  +1.63244403e+00  +9.95519569e-01
    102.5000  +1.20707779e+00  +8.31975229e-01
    103.5000  +1.58831039e+00  +9.97181799e-01
    104.5000  +1.59085869e+00  +9.97078122e-01
    105.5000  +1.58607627e+00  +9.97251311e-01
    106.5000  +1.56826460e+00  +9.97730410e-01
    107.5000  +1.56032616e+00  +9.97921799e-01
    108.5000  +1.55630511e+00  +9.97994559e-01
    109.5000  +1.53650029e+00  +9.98344250e-01
    110.5000  +2.29187691e+00  +9.68861025e-01
    111.5000  +2.32923748e+00  +9.66080868e-01
    112.5000  +2.32404394e+00  +9.66549506e-01
    113.5000  +2.33117906e+00  +9.66111914e-01
    114.5000  +2.33436950e+00  +9.65870017e-01
    115.5000  +2.33035997e+00  +9.66142905e-01
    116.5000  +2.33542665e+00  +9.65720324e-01
    117.5000  +2.33536271e+00  +9.65739130e-01
    118.5000  +2.33759258e+00  +9.65489818e-01
    119.5000  +2.27485634e+00  +9.64874659e-01
    120.5000  +2.40831998e+00  +9.59440999e-01
    121.5000  +6.24794602e-01  +5.54917137e-01
    122.5000  +2.41435625e+00  +9.58390001e-01
