# wavelength_nm   slope_a   correlation_r
     44.1000  -1.07089604e+00  -2.03486062e-01
     45.1000  -1.07097802e+00  -2.03501210e-01
     46.0000  -1.07107186e+00  -2.03518705e-01
     47.0000  -1.07120116e+00  -2.03542714e-01
     48.0000  -1.07136064e+00  -2.03572007e-01
     49.0000  -1.07155659e+00  -2.03607838e-01
     50.0000  -1.07180661e+00  -2.03654732e-01
     50.6000  +3.82159628e+00  +8.09891767e-01
     51.2000  +6.58158517e-01  +1.44826980e-01
     52.0000  -1.07220152e+00  -2.03726168e-01
     53.0000  -1.07204092e+00  -2.03696075e-01
     54.0000  -1.07263450e+00  -2.03805423e-01
     55.0000  -1.07277516e+00  -2.03829585e-01
     56.0000  -1.07326182e+00  -2.03919816e-01
     57.0000  -1.07382410e+00  -2.04022307e-01
     58.0000  -8.45872220e-01  -1.64974798e-01
     59.0000  -1.07536059e+00  -2.04304740e-01
     60.0000  -1.07629588e+00  -2.04477439e-01
     61.0000  -1.07725779e+00  -2.04654394e-01
     62.0000  -8.46334697e-01  -1.65063407e-01
     63.0000  -8.46606533e-01  -1.65114317e-01
     64.0000  -8.46947552e-01  -1.65181144e-01
     65.0000  -8.47310395e-01  -1.65250390e-01
     65.8000  -8.47624826e-01  -1.65309616e-01
     66.5000  -8.48055276e-01  -1.65392098e-01
     67.5000  -8.48583044e-01  -1.65494543e-01
     68.5000  -8.48998712e-01  -1.65573446e-01
     69.5000  -8.49630445e-01  -1.65695209e-01
     70.5000  -5.64654333e-01  -1.13878020e-01
     71.6000  -5.64649904e-01  -1.13877274e-01
     72.6000  -5.64941635e-01  -1.13934956e-01
     73.5000  -5.65259951e-01  -1.13998855e-01
     74.5000  -5.65735216e-01  -1.14094730e-01
     75.5000  -5.66183658e-01  -1.14186121e-01
     76.5000  -5.66503319e-01  -1.14248312e-01
     77.5000  -5.67117327e-01  -1.14372576e-01
     78.5000  -5.67555643e-01  -1.14460804e-01
     79.5000  +2.10977163e+00  +4.66547622e-01
     80.5000  -2.28938847e-01  -4.77541121e-02
