# wavelength_nm   slope_a   correlation_r
     44.1000  +1.28388015e+00  +5.18063925e-02
     45.1000  +1.28389494e+00  +5.18070199e-02
     46.0000  +1.28393019e+00  +5.18085153e-02
     47.0000  +1.28396729e+00  +5.18100894e-02
     48.0000  +1.28397565e+00  +5.18104439e-02
     49.0000  -3.22521870e+05  -1.37919871e-01
     50.0000  -2.48236567e+05  -1.37920096e-01
     50.6000  +3.16241959e+04  +4.08120094e-01
     51.2000  +2.53424287e+03  +1.48248645e-01
     52.0000  -2.17353897e+03  -1.38030673e-01
     53.0000  +1.28390936e+00  +5.18076317e-02
     54.0000  +1.28397963e+00  +5.18106127e-02
     55.0000  +1.28379227e+00  +5.18026644e-02
     56.0000  +1.28391813e+00  +5.18080037e-02
     57.0000  +1.28385912e+00  +5.18055005e-02
     58.0000  -8.21080364e+03  -1.37978503e-01
     59.0000  -2.41363888e+04  -1.37929161e-01
     60.0000  -2.04137130e+04  -1.37930991e-01
     61.0000  -1.70768041e+04  -1.37933311e-01
     62.0000  -2.97103118e+03  -1.38083321e-01
     63.0000  -2.55293457e+03  -1.38110242e-01
     64.0000  -2.20589858e+03  -1.38140334e-01
     65.0000  -1.91550579e+03  -1.38173915e-01
     65.8000  -1.71808833e+03  -1.38203243e-01
     66.5000  -1.62189983e+03  -1.38220118e-01
     67.5000  -1.42502387e+03  -1.38261764e-01
     68.5000  -1.21295065e+03  -1.38321801e-01
     69.5000  -1.07461844e+03  -1.38373747e-01
     70.5000  -4.06351442e+02  -1.35751209e-01
     71.6000  -3.06067878e+02  -1.40290390e-01
     72.6000  -2.74574631e+02  -1.40566670e-01
     73.5000  -2.50187105e+02  -1.40829147e-01
     74.5000  -4.11227575e+02  -6.44213495e-02
     75.5000  -3.71713254e+02  -6.45072150e-02
     76.5000  -3.28974139e+02  -6.46237721e-02
     77.5000  -3.06723299e+02  -6.46974754e-02
     78.5000  -2.73289846e+02  -6.48311938e-02
     79.5000  -4.25429220e+01  -7.52499557e-02
     80.5000  -1.28966579e+02  -6.73497160e-02
     81.5000  -1.06466624e+02  -6.81923852e-02
     82.5000  -9.67629035e+01  -6.86862830e-02
     83.5000  -8.96756732e+01  -6.91200620e-02
     84.5000  -8.34965206e+01  -6.95638935e-02
     85.5000  -7.78792717e+01  -7.00343214e-02
     86.5000  -4.52051232e+01  -7.96687110e-02
     87.5000  -4.68942185e+01  -7.89544599e-02
     88.5000  -4.06802687e+01  -8.19577838e-02
     89.5000  -3.84995706e+01  -8.33127530e-02
     90.5000  -3.69443892e+01  -8.44052058e-02
     91.5000  +2.78138356e+04  +9.40195019e-01
     92.5000  +9.55890795e+04  +9.26233655e-01
     93.5000  +1.69755376e+05  +9.25805486e-01
     94.5000  +4.79896415e+04  +9.25707113e-01
     95.5000  +1.42991770e+07  +9.25751914e-01
     96.5000  +1.24410277e+07  +9.25736818e-01
     97.5000  +1.06382263e+05  +9.25788671e-01
     98.5000  +9.71992619e+06  +9.25756703e-01
     99.5000  +8.54950011e+06  +9.25769107e-01
    100.5000  +7.67746893e+06  +9.25741124e-01
    101.5000  +6.81304679e+06  +9.25788436e-01
    102.5000  +2.42060063e+05  +9.25847648e-01
    103.5000  +4.84790515e+06  +9.25812516e-01
    104.5000  +4.30147769e+06  +9.25734480e-01
    105.5000  +4.31395547e+06  +9.25829659e-01
    106.5000  +3.45062468e+06  +9.25762359e-01
    107.5000  +3.09684026e+06  +9.25788220e-01
    108.5000  +2.78030449e+06  +9.25782069e-01
    109.5000  +2.51755964e+06  +9.25782590e-01
    110.5000  +7.41394753e+04  +9.24519071e-01
    111.5000  +6.20467877e+04  +9.23841017e-01
    112.5000  +4.87157355e+04  +9.23345065e-01
    113.5000  +3.98936934e+04  +9.22712453e-01
    114.5000  +3.73810996e+04  +9.22667792e-01
    115.5000  +3.62518986e+04  +9.22938063e-01
    116.5000  +3.47196310e+04  +9.22783026e-01
    117.5000  +3.14111983e+04  +9.22731431e-01
    118.5000  +3.34656916e+04  +9.23343169e-01
    119.5000  +3.90582086e+04  +9.24291627e-01
    120.5000  +5.55783120e+04  +9.24690308e-01
    121.5000  +2.76385430e+05  +9.26092041e-01
    122.5000  +6.23581272e+04  +9.24934035e-01
    123.5000  +3.17581190e+04  +9.23730827e-01
    124.5000  +2.71143484e+04  +9.22575288e-01
    125.5000  +2.75549237e+04  +9.21690980e-01
    126.5000  +2.83081952e+04  +9.21627904e-01
    127.5000  +2.75359406e+04  +9.21068597e-01
    128.5000  +3.22759181e+04  +9.20502279e-01
    129.5000  +3.23921989e+04  +9.20597976e-01
    130.5000  +3.40012218e+04  +9.20619730e-01
    131.5000  +3.39436984e+04  +9.20291363e-01
    132.5000  +4.10957115e+04  +9.20426175e-01
    133.5000  +4.41141256e+04  +9.20779229e-01
    134.5000  +4.22805554e+04  +9.20558978e-01
    135.5000  +4.06474248e+04  +9.20775344e-01
    136.5000  +4.52556247e+04  +9.20884507e-01
    137.5000  +5.03991689e+04  +9.21297358e-01
    138.5000  +5.02285488e+04  +9.21655371e-01
    139.5000  +5.53605460e+04  +9.21742156e-01
    140.5000  +4.70236566e+04  +9.21624120e-01
