# wavelength_nm   slope_a   correlation_r
     44.1000  -5.69363393e-01  -1.50711418e-01
     45.1000  -5.69364319e-01  -1.50711854e-01
     46.0000  -5.69366524e-01  -1.50712893e-01
     47.0000  -5.69368846e-01  -1.50713987e-01
     48.0000  -5.69369368e-01  -1.50714233e-01
     49.0000  -5.69368851e-01  -1.50713989e-01
     50.0000  -5.69376780e-01  -1.50717725e-01
     50.6000  +1.20204118e+00  +6.14268997e-01
     51.2000  +5.30497370e-01  +2.31311477e-01
     52.0000  -5.69370110e-01  -1.50714583e-01
     53.0000  -5.69365221e-01  -1.50712279e-01
     54.0000  -5.69369617e-01  -1.50714350e-01
     55.0000  -5.69357896e-01  -1.50708827e-01
     56.0000  -5.69365770e-01  -1.50712537e-01
     57.0000  -5.69362078e-01  -1.50710798e-01
     58.0000  -3.72936058e-01  -1.09589587e-01
     59.0000  -5.69369413e-01  -1.50714254e-01
     60.0000  -5.69379724e-01  -1.50719112e-01
     61.0000  -5.69385584e-01  -1.50721872e-01
     62.0000  -3.72932000e-01  -1.09588374e-01
     63.0000  -3.72924490e-01  -1.09584446e-01
     64.0000  -3.72942026e-01  -1.09592569e-01
     65.0000  -3.72941351e-01  -1.09592176e-01
     65.8000  -3.72930378e-01  -1.09587243e-01
     66.5000  -3.72931901e-01  -1.09588001e-01
     67.5000  -3.72945726e-01  -1.09594724e-01
     68.5000  -3.72940643e-01  -1.09592260e-01
     69.5000  -3.72950108e-01  -1.09596782e-01
     70.5000  -1.57056157e-01  -5.15335251e-02
     71.6000  -1.57063069e-01  -5.15360683e-02
     72.6000  -1.57050621e-01  -5.15310746e-02
     73.5000  -1.57056311e-01  -5.15330821e-02
     74.5000  -1.57056157e-01  -5.15335254e-02
     75.5000  -1.57079351e-01  -5.15428058e-02
     76.5000  -1.57052418e-01  -5.15318759e-02
     77.5000  -1.57057044e-01  -5.15344436e-02
     78.5000  -1.57069383e-01  -5.15390650e-02
     79.5000  +9.69412157e-01  +3.09745535e-01
     80.5000  +5.98923208e-02  +2.19634388e-02
     81.5000  +5.98899492e-02  +2.19631157e-02
     82.5000  +5.99049309e-02  +2.19677962e-02
     83.5000  +5.98933875e-02  +2.19638951e-02
     84.5000  +5.98921341e-02  +2.19636718e-02
     85.5000  +5.98726190e-02  +2.19571281e-02
     86.5000  +2.87461607e-01  +1.16297736e-01
     87.5000  +2.87483354e-01  +1.16302311e-01
