# wavelength_nm   slope_a   correlation_r
     44.1000  -1.93849956e+00  -1.59545571e-01
     45.1000  -1.93858536e+00  -1.59552605e-01
     46.0000  -1.93868626e+00  -1.59561131e-01
     47.0000  -1.93882362e+00  -1.59572583e-01
     48.0000  -1.93898753e+00  -1.59585737e-01
     49.0000  -1.93918620e+00  -1.59601417e-01
     50.0000  -1.93945988e+00  -1.59624988e-01
     50.6000  +3.92810015e+00  +6.24150109e-01
     51.2000  +1.81397416e+00  +2.45929515e-01
     52.0000  -1.93984693e+00  -1.59654252e-01
     53.0000  -1.93967172e+00  -1.59639197e-01
     54.0000  -1.94028753e+00  -1.59689169e-01
     55.0000  -1.94040343e+00  -1.59695711e-01
     56.0000  -1.94091841e+00  -1.59738453e-01
     57.0000  -1.94148341e+00  -1.59782528e-01
     58.0000  -1.26943672e+00  -1.15985640e-01
     59.0000  -1.94306806e+00  -1.59910191e-01
     60.0000  -1.94404620e+00  -1.59990310e-01
     61.0000  -1.94504133e+00  -1.60070760e-01
     62.0000  -1.26989978e+00  -1.16027247e-01
     63.0000  -1.27016013e+00  -1.16048808e-01
     64.0000  -1.27054716e+00  -1.16086849e-01
     65.0000  -1.27091572e+00  -1.16119793e-01
     65.8000  -1.27121216e+00  -1.16144588e-01
     66.5000  -1.27165465e+00  -1.16184727e-01
     67.5000  -1.27222401e+00  -1.16238821e-01
     68.5000  -1.27263674e+00  -1.16274889e-01
     69.5000  -1.27330233e+00  -1.16336649e-01
     70.5000  -5.29964974e-01  -5.40682614e-02
     71.6000  -5.29974723e-01  -5.40695459e-02
     72.6000  -5.30246250e-01  -5.40962271e-02
     73.5000  -5.30582544e-01  -5.41306187e-02
     74.5000  -5.31067673e-01  -5.41805302e-02
     75.5000  -5.31573997e-01  -5.42338528e-02
     76.5000  -5.31843334e-01  -5.42590509e-02
     77.5000  -5.32480302e-01  -5.43250139e-02
     78.5000  -5.32952989e-01  -5.43737499e-02
     79.5000  +3.25717584e+00  +3.23606316e-01
     80.5000  +2.15702683e-01  +2.45958722e-02
     81.5000  +2.15751462e-01  +2.46020357e-02
     82.5000  +2.15511428e-01  +2.45738157e-02
     83.5000  +2.15087952e-01  +2.45259787e-02
     84.5000  +2.14661226e-01  +2.44776718e-02
     85.5000  +2.14140721e-01  +2.44190963e-02
     86.5000  +9.93170063e-01  +1.24943529e-01
     87.5000  +9.92543950e-01  +1.24862498e-01
     88.5000  +9.92519220e-01  +1.24864572e-01
     89.5000  +9.92411394e-01  +1.24844936e-01
     90.5000  +9.91797759e-01  +1.24774888e-01
     91.5000  +3.91663912e+00  +6.24934780e-01
     92.5000  +3.90026885e+00  +6.25592093e-01
     93.5000  +3.86996570e+00  +6.26722869e-01
     94.5000  +3.90887355e+00  +6.24853017e-01
     95.5000  -3.65631969e+00  -8.46341487e-01
     96.5000  -3.60840782e+00  -8.43672773e-01
     97.5000  +3.86380318e+00  +6.25469476e-01
     98.5000  -3.79439662e+00  -8.80841850e-01
     99.5000  -3.76745785e+00  -8.81935611e-01
    100.5000  -3.79269368e+00  -8.89473436e-01
    101.5000  -3.82246172e+00  -8.97589234e-01
    102.5000  +3.64541057e+00  +6.25479441e-01
    103.5000  -3.02134649e+00  -8.94102930e-01
    104.5000  -2.97382674e+00  -8.90417330e-01
    105.5000  -3.93647015e+00  -9.26280125e-01
    106.5000  -3.02010848e+00  -9.07953503e-01
    107.5000  -3.03146843e+00  -9.14599056e-01
    108.5000  -3.02305866e+00  -9.17440965e-01
    109.5000  -3.08795156e+00  -9.31675439e-01
    110.5000  +6.23076598e+00  +8.78774320e-01
    111.5000  +6.33466505e+00  +8.67324913e-01
    112.5000  +6.36728907e+00  +8.70711259e-01
    113.5000  +6.39979440e+00  +8.69886541e-01
    114.5000  +6.38914344e+00  +8.68551366e-01
    115.5000  +6.36143170e+00  +8.68939583e-01
    116.5000  +6.33867818e+00  +8.66455359e-01
    117.5000  +6.34278418e+00  +8.66666449e-01
    118.5000  +6.29739198e+00  +8.63828136e-01
    119.5000  +6.00426439e+00  +8.44273027e-01
    120.5000  +6.12496255e+00  +8.24099811e-01
    121.5000  -1.68069052e+00  -2.15141011e-01
    122.5000  +5.94600841e+00  +8.09756004e-01
    123.5000  +6.19900117e+00  +8.48773983e-01
    124.5000  +6.23924631e+00  +8.49922101e-01
    125.5000  +6.21637956e+00  +8.45937787e-01
    126.5000  +6.16603721e+00  +8.43530988e-01
    127.5000  +6.13140341e+00  +8.43298945e-01
    128.5000  +6.05308744e+00  +8.28638569e-01
    129.5000  +5.98087623e+00  +8.26682485e-01
    130.5000  +5.54959605e+00  +7.93783634e-01
    131.5000  +5.85922751e+00  +8.16714569e-01
    132.5000  +5.59863655e+00  +8.01975848e-01
    133.5000  +5.43308400e+00  +7.99286820e-01
    134.5000  +5.40386226e+00  +7.95624642e-01
    135.5000  +5.36357266e+00  +7.92142251e-01
    136.5000  +5.09717951e+00  +7.83996853e-01
    137.5000  +4.82053996e+00  +7.63013659e-01
    138.5000  +4.67449545e+00  +7.67446882e-01
    139.5000  +4.31571477e+00  +7.38647417e-01
    140.5000  +4.51378613e+00  +7.57024339e-01
    141.5000  +4.44985556e+00  +7.55204424e-01
    142.5000  +4.38850424e+00  +7.48192397e-01
    143.5000  +4.49821081e+00  +7.67786689e-01
    144.2000  +4.89473732e+00  +7.82758690e-01
    144.7000  +4.38173875e+00  +7.51574054e-01
    145.5000  +4.43192504e+00  +7.57568813e-01
    146.5000  +4.79396857e+00  +7.87604437e-01
    147.5000  +4.74707471e+00  +7.83821898e-01
    148.5000  +4.50294668e+00  +7.68014215e-01
    149.5000  +4.75887935e+00  +7.86019011e-01
    150.5000  +4.91397937e+00  +7.98844973e-01
    151.2000  +3.66534504e+00  +7.03808406e-01
    151.7000  +4.23105467e+00  +7.43675644e-01
    152.5000  +5.31543151e+00  +9.48542370e-01
    153.5000  +5.31668110e+00  +9.62560457e-01
    154.5000  +5.22824321e+00  +9.60031246e-01
    155.5000  +5.25690149e+00  +9.68139936e-01
    156.5000  +5.21093609e+00  +9.66480152e-01
    157.5000  +5.09091875e+00  +9.79348673e-01
    158.5000  +5.07889698e+00  +9.79631558e-01
    159.5000  +5.05853041e+00  +9.80605499e-01
    160.5000  +5.07872199e+00  +9.79329097e-01
    161.5000  +5.08202082e+00  +9.78666867e-01
    162.5000  +5.02957819e+00  +9.79259931e-01
    163.5000  +5.00803939e+00  +9.81319770e-01
    164.5000  +4.98152843e+00  +9.83094147e-01
    165.5000  +4.95159122e+00  +9.80279579e-01
    166.5000  +4.93574694e+00  +9.84442627e-01
    167.2000  +4.93781043e+00  +9.79111241e-01
    167.7000  +4.69356199e+00  +9.89312187e-01
    168.5000  +4.69416612e+00  +9.89819334e-01
    169.5000  +4.62315968e+00  +9.91691145e-01
    170.5000  +4.66521174e+00  +9.90025853e-01
    171.5000  +4.74686051e+00  +9.84063082e-01
    172.5000  +4.66337059e+00  +9.87085976e-01
    173.5000  +4.70149119e+00  +9.81805344e-01
    174.5000  +4.70169690e+00  +9.79316418e-01
    175.5000  +4.79559132e+00  +9.66964300e-01
    176.5000  +4.55518781e+00  +9.84749323e-01
    177.5000  +4.75355614e+00  +9.71028395e-01
    178.5000  +4.74610556e+00  +9.69083931e-01
    179.5000  +5.03660757e+00  +9.36424359e-01
    180.5000  +4.77002340e+00  +9.61164069e-01
    181.5000  +4.56918799e+00  +9.80610906e-01
    182.5000  +4.59870218e+00  +9.71649400e-01
    183.5000  +4.53481939e+00  +9.79246817e-01
    184.5000  +4.37560391e+00  +9.92052789e-01
    185.5000  +4.63983911e+00  +9.68564241e-01
    186.5000  +4.76868704e+00  +9.53752920e-01
    187.5000  +4.70858203e+00  +9.58373917e-01
    188.5000  +4.71578608e+00  +9.55584371e-01
    189.5000  +4.75048277e+00  +9.47735158e-01
    190.5000  +4.70912787e+00  +9.52416081e-01
    191.5000  +4.66372434e+00  +9.57245503e-01
    192.5000  +4.39139183e+00  +9.81861026e-01
    193.5000  +4.22957381e+00  +9.95323052e-01
    194.5000  +4.56906608e+00  +9.62310886e-01
    195.5000  +4.53668108e+00  +9.64437656e-01
    196.7000  +4.67320514e+00  +9.47295692e-01
    197.6000  +4.40221707e+00  +9.71463159e-01
    198.4000  +4.73325423e+00  +9.38177912e-01
    199.5000  +4.89095075e+00  +9.21542697e-01
    200.5000  +4.75881158e+00  +9.33904575e-01
    201.5000  +4.70014330e+00  +9.39559832e-01
    202.5000  +4.40959183e+00  +9.70547220e-01
    203.5000  +4.63367171e+00  +9.45426031e-01
    204.5000  +4.66057450e+00  +9.41427198e-01
    205.5000  +4.50300955e+00  +9.55629939e-01
    206.5000  +4.45693771e+00  +9.59634505e-01
    207.4000  +4.40106739e+00  +9.66284119e-01
    207.8000  +5.73190077e+00  +8.58378080e-01
    208.5000  +5.88179472e+00  +8.48551153e-01
