# wavelength_nm   slope_a   correlation_r
     44.1000  +1.72350028e+01  +3.57103676e-01
     45.1000  +1.72350510e+01  +3.57105127e-01
     46.0000  +1.72351659e+01  +3.57108585e-01
     47.0000  +1.72352868e+01  +3.57112226e-01
     48.0000  +1.72353140e+01  +3.57113046e-01
     49.0000  -2.25326884e+06  -4.05745724e-01
     50.0000  -1.73427963e+06  -4.05745480e-01
     50.6000  +2.97933392e+04  +4.51681639e-01
     51.2000  -2.54093835e+03  -9.55286474e-02
     52.0000  -1.51770173e+04  -4.05625129e-01
     53.0000  +1.72350980e+01  +3.57106542e-01
     54.0000  +1.72353270e+01  +3.57113436e-01
     55.0000  +1.72347165e+01  +3.57095053e-01
     56.0000  +1.72351266e+01  +3.57107402e-01
     57.0000  +1.72349343e+01  +3.57101613e-01
     58.0000  -5.73449707e+04  -4.05698609e-01
     59.0000  -1.68618974e+05  -4.05735626e-01
     60.0000  -1.42610753e+05  -4.05733636e-01
     61.0000  -1.19297667e+05  -4.05731114e-01
     62.0000  -2.07376566e+04  -4.05613934e-01
     63.0000  -1.78166527e+04  -4.05592171e-01
     64.0000  -1.53921103e+04  -4.05567834e-01
     65.0000  -1.33633007e+04  -4.05540670e-01
     65.8000  -1.19840565e+04  -4.05516942e-01
     66.5000  -1.13120421e+04  -4.05503283e-01
     67.5000  -9.93658242e+03  -4.05469564e-01
     68.5000  -8.45494706e+03  -4.05420932e-01
     69.5000  -7.48849901e+03  -4.05378827e-01
     70.5000  -2.86312969e+03  -4.09386869e-01
     71.6000  -2.10797641e+03  -4.05188224e-01
     72.6000  -1.88795033e+03  -4.05121867e-01
     73.5000  -1.71756883e+03  -4.05058473e-01
     74.5000  -4.72581318e+03  -3.82240106e-01
     75.5000  -4.26688254e+03  -3.82242833e-01
     76.5000  -3.77049244e+03  -3.82246450e-01
     77.5000  -3.51206396e+03  -3.82248703e-01
     78.5000  -3.12375741e+03  -3.82252706e-01
     79.5000  -4.27255858e+02  -3.98267172e-01
     80.5000  -1.42598321e+03  -3.83266769e-01
     81.5000  -1.16466121e+03  -3.83499797e-01
     82.5000  -1.05195719e+03  -3.83635384e-01
     83.5000  -9.69644762e+02  -3.83753872e-01
     84.5000  -8.97878113e+02  -3.83874664e-01
     85.5000  -8.32639340e+02  -3.84001954e-01
     86.5000  -4.33808647e+02  -3.90112502e-01
     87.5000  -4.53424482e+02  -3.89769858e-01
     88.5000  -3.81255954e+02  -3.91205710e-01
     89.5000  -3.55923510e+02  -3.91850210e-01
     90.5000  -3.37866045e+02  -3.92366026e-01
     91.5000  +2.29522021e+04  +8.97268114e-01
     92.5000  +7.96916578e+04  +8.94402155e-01
     93.5000  +1.41725026e+05  +8.94866760e-01
     94.5000  +4.00544414e+04  +8.94607078e-01
     95.5000  +1.19365032e+07  +8.94741328e-01
     96.5000  +1.03851200e+07  +8.94731616e-01
     97.5000  +8.88135300e+04  +8.94821345e-01
     98.5000  +8.11410749e+06  +8.94760999e-01
     99.5000  +7.13701525e+06  +8.94768171e-01
    100.5000  +6.40873848e+06  +8.94710194e-01
    101.5000  +5.68811768e+06  +8.94865087e-01
    102.5000  +2.02103711e+05  +8.94923106e-01
    103.5000  +4.04762383e+06  +8.94931372e-01
    104.5000  +3.59077111e+06  +8.94742174e-01
    105.5000  +3.60204705e+06  +8.94957737e-01
    106.5000  +2.88049858e+06  +8.94757651e-01
    107.5000  +2.58544574e+06  +8.94851831e-01
    108.5000  +2.32117573e+06  +8.94846760e-01
    109.5000  +2.10173890e+06  +8.94810204e-01
    110.5000  +6.17828414e+04  +8.92858837e-01
    111.5000  +5.16505963e+04  +8.91724898e-01
    112.5000  +4.05191980e+04  +8.90870044e-01
    113.5000  +3.31471057e+04  +8.89762449e-01
    114.5000  +3.10586611e+04  +8.89715789e-01
    115.5000  +3.01342022e+04  +8.90199961e-01
    116.5000  +2.88559096e+04  +8.89986287e-01
    117.5000  +2.61053081e+04  +8.89921496e-01
    118.5000  +2.78424933e+04  +8.91021187e-01
    119.5000  +3.25264444e+04  +8.92303848e-01
    120.5000  +4.63275153e+04  +8.93141481e-01
    121.5000  +2.30832441e+05  +8.95328572e-01
    122.5000  +5.20000826e+04  +8.93564179e-01
    123.5000  +2.64401999e+04  +8.91724053e-01
    124.5000  +2.25286796e+04  +8.89668357e-01
    125.5000  +2.28581880e+04  +8.88051213e-01
    126.5000  +2.34767116e+04  +8.87833109e-01
    127.5000  +2.28151275e+04  +8.86862725e-01
    128.5000  +2.67133047e+04  +8.85794775e-01
    129.5000  +2.68165104e+04  +8.86017981e-01
    130.5000  +2.81448755e+04  +8.85951715e-01
    131.5000  +2.80855738e+04  +8.85461600e-01
    132.5000  +3.40114222e+04  +8.85704476e-01
    133.5000  +3.65303653e+04  +8.86312263e-01
    134.5000  +3.50006063e+04  +8.85954904e-01
    135.5000  +3.36603590e+04  +8.86320258e-01
    136.5000  +3.74847634e+04  +8.86536423e-01
    137.5000  +4.17748829e+04  +8.87270295e-01
    138.5000  +4.16588710e+04  +8.87906906e-01
    139.5000  +4.59226555e+04  +8.88068715e-01
    140.5000  +3.89968742e+04  +8.87790087e-01
    141.5000  +3.75814718e+04  +8.87988486e-01
    142.5000  +3.66075832e+04  +8.88023906e-01
    143.5000  +3.18499217e+04  +8.88124691e-01
    144.2000  +2.48657840e+04  +8.86698223e-01
    144.7000  +3.18435082e+04  +8.87880841e-01
    145.5000  +2.95106475e+04  +8.87408949e-01
    146.5000  +2.24330576e+04  +8.87293368e-01
    147.5000  +2.17539953e+04  +8.87279489e-01
    148.5000  +2.34771811e+04  +8.87524932e-01
    149.5000  +1.89745624e+04  +8.86477280e-01
    150.5000  +1.60422834e+04  +8.86044929e-01
    151.2000  +2.91532094e+04  +8.87881543e-01
    151.7000  +2.21758928e+04  +8.87544057e-01
    152.5000  +3.57055364e+03  +8.81653418e-01
    153.5000  +2.02182428e+03  +8.79594793e-01
    154.5000  +2.88208837e+03  +8.81568257e-01
    155.5000  +1.67923843e+03  +8.79505188e-01
    156.5000  +1.93576197e+03  +8.81284022e-01
    157.5000  +1.01295937e+03  +8.77301918e-01
    158.5000  +9.17307740e+02  +8.76457832e-01
    159.5000  +8.50846585e+02  +8.75815486e-01
    160.5000  +8.68630797e+02  +8.76518400e-01
    161.5000  +8.68147470e+02  +8.76531302e-01
    162.5000  +8.37624382e+02  +8.77971729e-01
    163.5000  +7.61823590e+02  +8.75678845e-01
    164.5000  +5.82762100e+02  +8.73510602e-01
    165.5000  +8.90045994e+02  +8.78479019e-01
    166.5000  +5.75056428e+02  +8.74928617e-01
    167.2000  +8.53541537e+02  +8.78754631e-01
    167.7000  +2.52503371e+02  +8.59535756e-01
    168.5000  +2.43762181e+02  +8.60675275e-01
    169.5000  +2.08777045e+02  +8.62744167e-01
    170.5000  +2.10731368e+02  +8.59824299e-01
    171.5000  +2.43071606e+02  +8.44772889e-01
    172.5000  +2.04865588e+02  +8.46938565e-01
    173.5000  +1.87886693e+02  +8.33477258e-01
    174.5000  +1.48529364e+02  +8.30094400e-01
    175.5000  +1.25126010e+02  +8.02983824e-01
    176.5000  +1.34370529e+02  +8.32896886e-01
    177.5000  +1.35323767e+02  +8.18463874e-01
    178.5000  +1.14089428e+02  +8.03110051e-01
    179.5000  +1.04277217e+02  +7.65388886e-01
    180.5000  +1.00607695e+02  +7.96983855e-01
    181.5000  +1.13052334e+02  +8.24888892e-01
    182.5000  +9.43118094e+01  +8.11549525e-01
    183.5000  +9.78991160e+01  +8.18923135e-01
    184.5000  +1.23902215e+02  +8.53916989e-01
    185.5000  +9.73269401e+01  +8.05571763e-01
    186.5000  +9.01160072e+01  +7.82665079e-01
    187.5000  +8.77282791e+01  +7.89971932e-01
    188.5000  +8.59122152e+01  +7.89911304e-01
    189.5000  +7.34948352e+01  +7.64968157e-01
    190.5000  +7.64438541e+01  +7.79688634e-01
    191.5000  +7.47165848e+01  +7.70449337e-01
    192.5000  +7.60845861e+01  +8.09674853e-01
    193.5000  +9.79453771e+01  +8.57616544e-01
    194.5000  +6.79917741e+01  +7.75047398e-01
    195.5000  +6.81034048e+01  +7.75590132e-01
    196.7000  +5.84200098e+01  +7.50662983e-01
    197.6000  +6.13394952e+01  +7.87682501e-01
    198.4000  +5.52974848e+01  +7.48396193e-01
    199.5000  +5.55730336e+01  +7.33667871e-01
    200.5000  +5.71342093e+01  +7.55916752e-01
    201.5000  +5.56019349e+01  +7.51647613e-01
    202.5000  +6.57989107e+01  +8.00819415e-01
    203.5000  +5.52804334e+01  +7.51349580e-01
    204.5000  +5.20773889e+01  +7.40562495e-01
    205.5000  +5.14909683e+01  +7.59394553e-01
    206.5000  +5.21493277e+01  +7.71162288e-01
    207.4000  +5.25851626e+01  +7.64615476e-01
    207.8000  +1.91436146e+01  +7.47190103e-01
    208.5000  +1.62287822e+01  +7.51283584e-01
    209.5000  +1.76216814e+01  +7.54631292e-01
    210.5000  +1.72623853e+01  +7.77231682e-01
    211.5000  +1.60269760e+01  +7.74430452e-01
    212.5000  +1.70547400e+01  +7.94564389e-01
    213.5000  +1.65615736e+01  +8.04537031e-01
    214.5000  +1.46922031e+01  +7.97665708e-01
    215.5000  +1.65533833e+01  +7.82847916e-01
    216.5000  +1.77610431e+01  +7.98564449e-01
    217.5000  +1.92323965e+01  +7.84902073e-01
    218.5000  +1.48187064e+01  +8.02235081e-01
    219.5000  +1.66897583e+01  +7.86256102e-01
    220.5000  +1.61524872e+01  +8.00814299e-01
    221.5000  +2.02613560e+01  +8.05904681e-01
    222.5000  +1.64365644e+01  +8.16384342e-01
    223.5000  +1.31566311e+01  +8.25339051e-01
    224.5000  +1.35825873e+01  +8.27261535e-01
    225.5000  +1.68625982e+01  +8.31780307e-01
    226.5000  +2.05557441e+01  +8.17513000e-01
    227.5000  +2.01930931e+01  +8.14214615e-01
    228.5000  +1.36501761e+01  +8.36090718e-01
    229.5000  +1.73314677e+01  +8.26199933e-01
    230.5000  +1.48943171e+01  +8.28117767e-01
    231.5000  +1.72477593e+01  +8.26049538e-01
    232.5000  +1.83591023e+01  +8.42458634e-01
    233.5000  +1.96749931e+01  +8.56276514e-01
    234.5000  +2.96140103e+01  +8.67101922e-01
    235.5000  +1.72655757e+01  +8.43856151e-01
    236.5000  +2.69432858e+01  +8.66248959e-01
    237.5000  +2.23354055e+01  +8.54095386e-01
    238.5000  +3.44928839e+01  +8.75197033e-01
    239.5000  +2.85658873e+01  +8.68711858e-01
    240.5000  +2.77480672e+01  +8.71499247e-01
    241.5000  +2.62781049e+01  +8.60700099e-01
    242.5000  +1.63902689e+01  +8.52950311e-01
    243.5000  +1.59819355e+01  +8.59185616e-01
    244.5000  +1.37247688e+01  +8.61672575e-01
    245.5000  +1.28998563e+01  +8.66029086e-01
    246.5000  +1.68719313e+01  +8.47069277e-01
    247.5000  +1.93924313e+01  +8.47592866e-01
    248.5000  +4.54911867e+01  +8.45447652e-01
    249.5000  +2.96451512e+01  +8.49742014e-01
    250.5000  +1.95966924e+01  +8.33733871e-01
    251.3000  +4.20329297e+01  +8.71643150e-01
    251.8000  +5.73983692e+01  +8.82180370e-01
    252.5000  +5.10308715e+01  +8.77618788e-01
    253.5000  +2.36380416e+01  +8.76238944e-01
