# wavelength_nm   slope_a   correlation_r
     44.1000  -8.96308341e+00  -3.14853821e-01
     45.1000  -8.96315872e+00  -3.14856414e-01
     46.0000  -8.96323972e+00  -3.14859368e-01
     47.0000  -8.96335453e+00  -3.14863446e-01
     48.0000  -8.96350681e+00  -3.14868503e-01
     49.0000  +5.73785387e+05  +2.88982523e-01
     50.0000  +4.41625923e+05  +2.88982238e-01
     50.6000  +2.15043432e+04  +3.37098219e-01
     51.2000  +5.09439298e+03  +3.68314400e-01
     52.0000  +3.86021875e+03  +2.88841578e-01
     53.0000  -8.96418526e+00  -3.14890146e-01
     54.0000  -8.96474081e+00  -3.14908938e-01
     55.0000  -8.96493055e+00  -3.14913543e-01
     56.0000  -8.96536668e+00  -3.14928901e-01
     57.0000  -8.96592862e+00  -3.14946792e-01
     58.0000  +1.45957860e+04  +2.88895264e-01
     59.0000  +4.29338728e+04  +2.88970708e-01
     60.0000  +3.63109358e+04  +2.88968373e-01
     61.0000  +3.03743088e+04  +2.88965413e-01
     62.0000  +5.27381340e+03  +2.88739313e-01
     63.0000  +4.52998580e+03  +2.88699199e-01
     64.0000  +3.91258130e+03  +2.88654335e-01
     65.0000  +3.39594905e+03  +2.88604234e-01
     65.8000  +3.04472709e+03  +2.88560445e-01
     66.5000  +2.87359971e+03  +2.88535216e-01
     67.5000  +2.52334159e+03  +2.88472962e-01
     68.5000  +2.14604593e+03  +2.88383149e-01
     69.5000  +1.89994157e+03  +2.88305322e-01
     70.5000  +7.35749072e+02  +2.90584534e-01
     71.6000  +5.27954914e+02  +2.85342025e-01
     72.6000  +4.71925349e+02  +2.84912101e-01
     73.5000  +4.28537815e+02  +2.84502544e-01
     74.5000  +1.72973098e+03  +3.26059877e-01
     75.5000  +1.56089791e+03  +3.25971007e-01
     76.5000  +1.37828353e+03  +3.25850227e-01
     77.5000  +1.28321148e+03  +3.25773679e-01
     78.5000  +1.14035968e+03  +3.25634775e-01
     79.5000  +1.65091553e+02  +3.49594385e-01
     80.5000  +5.13936840e+02  +3.23052917e-01
     81.5000  +4.17800942e+02  +3.22174206e-01
     82.5000  +3.76338553e+02  +3.21656651e-01
     83.5000  +3.46056914e+02  +3.21200604e-01
     84.5000  +3.19654794e+02  +3.20732607e-01
     85.5000  +2.95654264e+02  +3.20235020e-01
     86.5000  +1.48181009e+02  +3.13969751e-01
     87.5000  +1.55396588e+02  +3.14563580e-01
     88.5000  +1.28847138e+02  +3.12049098e-01
     89.5000  +1.19527330e+02  +3.10904767e-01
     90.5000  +1.12884029e+02  +3.09974326e-01
     91.5000  -2.03188146e+04  -8.64459622e-01
     92.5000  -7.26707882e+04  -8.86625276e-01
     93.5000  -1.29206083e+05  -8.87218230e-01
     94.5000  -3.65240823e+04  -8.87286284e-01
     95.5000  -1.08846121e+07  -8.87264765e-01
     96.5000  -9.47129580e+06  -8.87308702e-01
     97.5000  -8.09649833e+04  -8.87213387e-01
     98.5000  -7.39882903e+06  -8.87260819e-01
     99.5000  -6.50772104e+06  -8.87245549e-01
    100.5000  -5.84399605e+06  -8.87263703e-01
    101.5000  -5.18622588e+06  -8.87250191e-01
    102.5000  -1.84212108e+05  -8.87145682e-01
    103.5000  -3.69059189e+06  -8.87258710e-01
    104.5000  -3.27459154e+06  -8.87300592e-01
    105.5000  -3.28362905e+06  -8.87205208e-01
    106.5000  -2.62662967e+06  -8.87258173e-01
    107.5000  -2.35737907e+06  -8.87250467e-01
    108.5000  -2.11647511e+06  -8.87261009e-01
    109.5000  -1.91629203e+06  -8.87233535e-01
    110.5000  -5.65831493e+04  -8.88759518e-01
    111.5000  -4.74165438e+04  -8.89531784e-01
    112.5000  -3.72658223e+04  -8.90106508e-01
    113.5000  -3.05505314e+04  -8.90782809e-01
    114.5000  -2.86283769e+04  -8.90830455e-01
    115.5000  -2.77507540e+04  -8.90547709e-01
    116.5000  -2.65855584e+04  -8.90720730e-01
    117.5000  -2.40535953e+04  -8.90771081e-01
    118.5000  -2.55980922e+04  -8.90100450e-01
    119.5000  -2.98188883e+04  -8.88999490e-01
    120.5000  -4.24003522e+04  -8.88549911e-01
    121.5000  -2.10293155e+05  -8.86940202e-01
    122.5000  -4.75511984e+04  -8.88275645e-01
    123.5000  -2.42738175e+04  -8.89666648e-01
    124.5000  -2.07699134e+04  -8.90957412e-01
    125.5000  -2.11425768e+04  -8.91925594e-01
    126.5000  -2.17213791e+04  -8.91967945e-01
    127.5000  -2.11520139e+04  -8.92592432e-01
    128.5000  -2.48228768e+04  -8.93236550e-01
    129.5000  -2.49076601e+04  -8.93130712e-01
    130.5000  -2.61435033e+04  -8.93097886e-01
    131.5000  -2.61167819e+04  -8.93470869e-01
    132.5000  -3.16131419e+04  -8.93329574e-01
    133.5000  -3.39124135e+04  -8.92942371e-01
    134.5000  -3.25174581e+04  -8.93192541e-01
    135.5000  -3.12470538e+04  -8.92943115e-01
    136.5000  -3.47838023e+04  -8.92831876e-01
    137.5000  -3.87068526e+04  -8.92376313e-01
    138.5000  -3.85499064e+04  -8.91985794e-01
    139.5000  -4.24828866e+04  -8.91894902e-01
    140.5000  -3.60856794e+04  -8.91966337e-01
    141.5000  -3.47692873e+04  -8.91922332e-01
    142.5000  -3.38654554e+04  -8.91885584e-01
    143.5000  -2.94582490e+04  -8.91843142e-01
    144.2000  -2.30640900e+04  -8.92699056e-01
    144.7000  -2.94658064e+04  -8.91955277e-01
    145.5000  -2.73336415e+04  -8.92259309e-01
    146.5000  -2.07820003e+04  -8.92343288e-01
    147.5000  -2.01530983e+04  -8.92336595e-01
    148.5000  -2.17385339e+04  -8.92179388e-01
    149.5000  -1.76057694e+04  -8.92805115e-01
    150.5000  -1.48966382e+04  -8.93061118e-01
    151.2000  -2.69773954e+04  -8.91961952e-01
    151.7000  -2.05332550e+04  -8.92173304e-01
    152.5000  -3.34233255e+03  -8.96104625e-01
    153.5000  -1.89832589e+03  -8.97546048e-01
    154.5000  -2.69763192e+03  -8.96298284e-01
    155.5000  -1.57615884e+03  -8.97706415e-01
    156.5000  -1.81105027e+03  -8.96474800e-01
    157.5000  -9.52853190e+02  -8.99101675e-01
    158.5000  -8.63880083e+02  -8.99639017e-01
    159.5000  -8.01834526e+02  -9.00026518e-01
    160.5000  -8.17678995e+02  -8.99622994e-01
    161.5000  -8.17167372e+02  -8.99612933e-01
    162.5000  -7.86015192e+02  -8.98746186e-01
    163.5000  -7.17646650e+02  -9.00129292e-01
    164.5000  -5.50112462e+02  -9.01529929e-01
    165.5000  -8.34345752e+02  -8.98025542e-01
    166.5000  -5.41235087e+02  -9.00647957e-01
    167.2000  -7.99667527e+02  -8.98128584e-01
    167.7000  -2.41421839e+02  -9.07885830e-01
    168.5000  -2.32547165e+02  -9.07755635e-01
    169.5000  -1.97637269e+02  -9.06545236e-01
    170.5000  -2.00562351e+02  -9.07917821e-01
    171.5000  -2.37850360e+02  -9.13396625e-01
    172.5000  -1.99019845e+02  -9.12744773e-01
    173.5000  -1.85966613e+02  -9.17269217e-01
    174.5000  -1.46671183e+02  -9.18372478e-01
    175.5000  -1.27864533e+02  -9.26590597e-01
    176.5000  -1.31643232e+02  -9.17073551e-01
    177.5000  -1.35489625e+02  -9.21760951e-01
    178.5000  -1.16126102e+02  -9.26512857e-01
    179.5000  -1.11468775e+02  -9.36145488e-01
    180.5000  -1.02624509e+02  -9.27898270e-01
    181.5000  -1.11396447e+02  -9.20095788e-01
    182.5000  -9.38723587e+01  -9.23516076e-01
    183.5000  -9.66613637e+01  -9.21741908e-01
    184.5000  -1.17057359e+02  -9.09597044e-01
    185.5000  -9.78870815e+01  -9.25072409e-01
    186.5000  -9.32785559e+01  -9.31322010e-01
    187.5000  -8.97284596e+01  -9.29321280e-01
    188.5000  -8.77504786e+01  -9.29229765e-01
    189.5000  -7.71068459e+01  -9.35833305e-01
    190.5000  -7.86692333e+01  -9.31803159e-01
    191.5000  -7.79248521e+01  -9.34582457e-01
    192.5000  -7.51326242e+01  -9.24318792e-01
    193.5000  -9.09356295e+01  -9.07505377e-01
    194.5000  -7.00331268e+01  -9.33515405e-01
    195.5000  -7.01421692e+01  -9.33476298e-01
    196.7000  -6.15341584e+01  -9.39349414e-01
    197.6000  -6.16210460e+01  -9.30308786e-01
    198.4000  -5.80869654e+01  -9.39611456e-01
    199.5000  -5.95542387e+01  -9.42746010e-01
