# wavelength_nm   slope_a   correlation_r
     44.1000  -1.26688375e+00  -4.81609414e-02
     45.1000  -1.26692975e+00  -4.81626591e-02
     46.0000  -1.26697594e+00  -4.81643629e-02
     47.0000  -1.26704362e+00  -4.81668745e-02
     48.0000  -1.26714028e+00  -4.81705079e-02
     49.0000  +3.85001088e+04  +1.87810443e-02
     50.0000  +2.96322605e+04  +1.87809228e-02
     50.6000  +4.83036739e+03  +9.68238269e-02
     51.2000  +1.30865610e+03  +1.12674134e-01
     52.0000  +2.58353007e+02  +1.87211342e-02
     53.0000  -1.26758846e+00  -4.81874636e-02
     54.0000  -1.26793442e+00  -4.82004259e-02
     55.0000  -1.26808826e+00  -4.82064175e-02
     56.0000  -1.26834785e+00  -4.82160672e-02
     57.0000  -1.26871971e+00  -4.82301393e-02
     58.0000  +9.77931734e+02  +1.87466068e-02
     59.0000  +2.88017811e+03  +1.87760116e-02
     60.0000  +2.43578116e+03  +1.87750158e-02
     61.0000  +2.03743531e+03  +1.87737531e-02
     62.0000  +3.52430750e+02  +1.86850603e-02
     63.0000  +3.02520022e+02  +1.86692374e-02
     64.0000  +2.61092311e+02  +1.86515450e-02
     65.0000  +2.26426283e+02  +1.86317926e-02
     65.8000  +2.02859202e+02  +1.86145339e-02
     66.5000  +1.91376388e+02  +1.86045860e-02
     67.5000  +1.67873974e+02  +1.85800574e-02
     68.5000  +1.42557327e+02  +1.85446962e-02
     69.5000  +1.26043511e+02  +1.85140603e-02
     70.5000  +5.06224270e+01  +1.94019552e-02
     71.6000  +3.34315165e+01  +1.74568492e-02
     72.6000  +2.96717494e+01  +1.73019443e-02
     73.5000  +2.67603010e+01  +1.71546531e-02
     74.5000  +2.26238733e+02  +4.52184636e-02
     75.5000  +2.04017456e+02  +4.51712230e-02
     76.5000  +1.79982232e+02  +4.51070939e-02
     77.5000  +1.67468949e+02  +4.50664614e-02
     78.5000  +1.48667187e+02  +4.49928122e-02
     79.5000  +2.70845730e+01  +6.06105029e-02
     80.5000  +6.60297584e+01  +4.38800220e-02
     81.5000  +5.33767906e+01  +4.34779128e-02
     82.5000  +4.79195029e+01  +4.32419730e-02
     83.5000  +4.39337792e+01  +4.30345935e-02
     84.5000  +4.04586455e+01  +4.28223352e-02
     85.5000  +3.72995882e+01  +4.25972235e-02
     86.5000  +1.81392405e+01  +4.01245984e-02
     87.5000  +1.90885985e+01  +4.03688477e-02
     88.5000  +1.55942647e+01  +3.93390308e-02
     89.5000  +1.43675750e+01  +3.88753348e-02
     90.5000  +1.34929181e+01  +3.85002910e-02
     91.5000  -1.59188174e+04  -8.72987991e-01
     92.5000  -5.60129799e+04  -8.86588178e-01
     93.5000  -9.95159587e+04  -8.86637137e-01
     94.5000  -2.81339944e+04  -8.86782909e-01
     95.5000  -8.38354218e+06  -8.86702758e-01
     96.5000  -7.29460168e+06  -8.86735745e-01
     97.5000  -6.23629283e+04  -8.86650963e-01
     98.5000  -5.69870028e+06  -8.86693458e-01
     99.5000  -5.01239998e+06  -8.86683171e-01
    100.5000  -4.50126958e+06  -8.86714101e-01
    101.5000  -3.99432174e+06  -8.86650819e-01
    102.5000  -1.41889612e+05  -8.86570595e-01
    103.5000  -2.84224376e+06  -8.86636893e-01
    104.5000  -2.52205871e+06  -8.86726040e-01
    105.5000  -2.52897749e+06  -8.86587780e-01
    106.5000  -2.02307187e+06  -8.86694565e-01
    107.5000  -1.81561011e+06  -8.86656900e-01
    108.5000  -1.63005516e+06  -8.86663873e-01
    109.5000  -1.47596054e+06  -8.86659949e-01
    110.5000  -4.35568400e+04  -8.88248441e-01
    111.5000  -3.64931613e+04  -8.89101981e-01
