# wavelength_nm   slope_a   correlation_r
     44.1000  -3.00820836e-01  -9.00289064e-03
     45.1000  -3.00859087e-01  -9.00402971e-03
     46.0000  -3.00897280e-01  -9.00516152e-03
     47.0000  -3.00953390e-01  -9.00682823e-03
     48.0000  -3.01034030e-01  -9.00923575e-03
     49.0000  -4.57503819e+04  -1.84116574e-02
     50.0000  -3.52129723e+04  -1.84117593e-02
     50.6000  +5.37544393e+03  +1.34819091e-01
     51.2000  +8.26580075e+02  +8.99158646e-02
     52.0000  -3.08801261e+02  -1.84619022e-02
     53.0000  -3.01409122e-01  -9.02046253e-03
     54.0000  -3.01697263e-01  -9.02905395e-03
     55.0000  -3.01827891e-01  -9.03300828e-03
     56.0000  -3.02043345e-01  -9.03941256e-03
     57.0000  -3.02354726e-01  -9.04873353e-03
     58.0000  -1.16548478e+03  -1.84306268e-02
     59.0000  -3.42424482e+03  -1.84158770e-02
     60.0000  -2.89618174e+03  -1.84167115e-02
     61.0000  -2.42283994e+03  -1.84177694e-02
     62.0000  -4.22220517e+02  -1.84647234e-02
     63.0000  -3.62913450e+02  -1.84734872e-02
     64.0000  -3.13686351e+02  -1.84832878e-02
     65.0000  -2.72494170e+02  -1.84942269e-02
     65.8000  -2.44490586e+02  -1.85037829e-02
     66.5000  -2.30846417e+02  -1.85092934e-02
     67.5000  -2.02919703e+02  -1.85228768e-02
     68.5000  -1.72837233e+02  -1.85424496e-02
     69.5000  -1.53215045e+02  -1.85594089e-02
     70.5000  -5.65185786e+01  -1.78271330e-02
     71.6000  -4.44774053e+01  -1.90837048e-02
     72.6000  -4.00102486e+01  -1.91618412e-02
     73.5000  -3.65510198e+01  -1.92360469e-02
     74.5000  +1.60326319e+01  +2.67646110e-03
     75.5000  +1.43129840e+01  +2.64630259e-03
     76.5000  +1.24528521e+01  +2.60539352e-03
     77.5000  +1.14842815e+01  +2.57948476e-03
     78.5000  +1.00292063e+01  +2.53256600e-03
     79.5000  +5.53628571e+00  +1.09662232e-02
     80.5000  +3.23485013e+00  +1.78331783e-03
     81.5000  +2.25578910e+00  +1.52128373e-03
     82.5000  +1.83332021e+00  +1.36813728e-03
     83.5000  +1.52474252e+00  +1.23389524e-03
     84.5000  +1.25564420e+00  +1.09684157e-03
     85.5000  +1.01101781e+00  +9.51885500e-04
     86.5000  -4.63960766e-01  -8.36864432e-04
     87.5000  -3.90832926e-01  -6.74727395e-04
     88.5000  -6.61198416e-01  -1.35530966e-03
     89.5000  -7.56237273e-01  -1.65920126e-03
     90.5000  -8.24139566e-01  -1.90365138e-03
     91.5000  -4.14953897e+01  -1.54088158e-02
     92.5000  -5.19464940e+02  -6.15958001e-02
     93.5000  -9.36606465e+02  -6.17702310e-02
     94.5000  -2.62708431e+02  -6.12133985e-02
     95.5000  -7.91647622e+04  -6.19432413e-02
     96.5000  -6.89606353e+04  -6.20730769e-02
     97.5000  -5.85815594e+02  -6.16164673e-02
     98.5000  -5.38383947e+04  -6.19942611e-02
     99.5000  -4.73233070e+04  -6.19422409e-02
    100.5000  -4.25253079e+04  -6.19824217e-02
    101.5000  -3.77606226e+04  -6.20861022e-02
    102.5000  -1.33451540e+03  -6.16760178e-02
    103.5000  -2.68700660e+04  -6.21361670e-02
    104.5000  -2.38643001e+04  -6.21497123e-02
    105.5000  -2.38850243e+04  -6.19976020e-02
    106.5000  -1.91084711e+04  -6.19852405e-02
    107.5000  -1.71588599e+04  -6.20623588e-02
    108.5000  -1.54098047e+04  -6.20854412e-02
    109.5000  -1.39372215e+04  -6.19594677e-02
    110.5000  -4.23290894e+02  -6.45445160e-02
    111.5000  -3.60299289e+02  -6.58833643e-02
    112.5000  -2.85655830e+02  -6.67018083e-02
    113.5000  -2.37075941e+02  -6.78051368e-02
    114.5000  -2.22212153e+02  -6.78557895e-02
    115.5000  -2.13807386e+02  -6.72153229e-02
    116.5000  -2.05697547e+02  -6.76053381e-02
    117.5000  -1.85908145e+02  -6.75212095e-02
    118.5000  -1.95386659e+02  -6.64467421e-02
    119.5000  -2.23082419e+02  -6.49200013e-02
    120.5000  -3.14673237e+02  -6.39510476e-02
    121.5000  -1.52273417e+03  -6.17884313e-02
    122.5000  -3.51324630e+02  -6.35618717e-02
    123.5000  -1.83437675e+02  -6.56280738e-02
    124.5000  -1.60463981e+02  -6.75362230e-02
    125.5000  -1.67061523e+02  -6.96100552e-02
    126.5000  -1.71819309e+02  -6.97014951e-02
    127.5000  -1.69541623e+02  -7.09530017e-02
    128.5000  -2.02165150e+02  -7.24069123e-02
    129.5000  -2.02700742e+02  -7.23258429e-02
    130.5000  -2.12992382e+02  -7.24029419e-02
    131.5000  -2.14343840e+02  -7.31385346e-02
    132.5000  -2.59583920e+02  -7.30696422e-02
    133.5000  -2.76532136e+02  -7.23656776e-02
    134.5000  -2.66490809e+02  -7.28670614e-02
    135.5000  -2.54562441e+02  -7.22878996e-02
    136.5000  -2.83296090e+02  -7.22038146e-02
    137.5000  -3.12841892e+02  -7.14282211e-02
    138.5000  -3.09085578e+02  -7.06803573e-02
    139.5000  -3.40550735e+02  -7.06312253e-02
    140.5000  -2.88600930e+02  -7.03087840e-02
    141.5000  -2.77963520e+02  -7.03758589e-02
    142.5000  -2.70510352e+02  -7.03279014e-02
    143.5000  -2.34694670e+02  -7.01347275e-02
    144.2000  -1.86254852e+02  -7.15673374e-02
    144.7000  -2.35286488e+02  -7.03528663e-02
    145.5000  -2.19481274e+02  -7.09065729e-02
    146.5000  -1.66303032e+02  -7.07346962e-02
    147.5000  -1.61165647e+02  -7.07004971e-02
    148.5000  -1.73694510e+02  -7.05609928e-02
    149.5000  -1.41696652e+02  -7.13657896e-02
    150.5000  -1.20012275e+02  -7.15802627e-02
    151.2000  -2.15712721e+02  -7.05135836e-02
    151.7000  -1.63923557e+02  -7.04751750e-02
    152.5000  -2.60996217e+01  -7.11102089e-02
    153.5000  -1.38368408e+01  -6.70821585e-02
    154.5000  -2.05603274e+01  -6.94355446e-02
    155.5000  -1.09852813e+01  -6.41593880e-02
    156.5000  -1.27588326e+01  -6.43452972e-02
    157.5000  -5.61600967e+00  -5.47652145e-02
    158.5000  -4.87078056e+00  -5.26350858e-02
    159.5000  -4.34688751e+00  -5.06618298e-02
    160.5000  -4.42015408e+00  -5.04151054e-02
    161.5000  -4.41055770e+00  -5.03088873e-02
    162.5000  -4.01776223e+00  -4.73364069e-02
    163.5000  -3.57625504e+00  -4.65934076e-02
    164.5000  -2.12612565e+00  -3.64780127e-02
    165.5000  -4.40904550e+00  -4.88962558e-02
    166.5000  -1.97696720e+00  -3.42578350e-02
    167.2000  -4.10615521e+00  -4.73562030e-02
    167.7000  +5.13597340e-01  +2.08204630e-02
    168.5000  +6.04910612e-01  +2.54832277e-02
    169.5000  +9.86393095e-01  +4.84328416e-02
    170.5000  +9.36096338e-01  +4.56608194e-02
    171.5000  +4.03780533e-01  +1.69711719e-02
    172.5000  +8.22581559e-01  +4.11889941e-02
